epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,397.9,1.15739,2.20552,4.58401,1.31357,0,0.01402,0.37082,0.03529,0.0267,0.01402,0.37082,0.03529,0.02543,0.97926,0.86559,3.66748,1.17374,0,4.47936e-05,4.47936e-05,4.47936e-05
2,758.912,1.12194,1.04366,3.28941,1.27966,0,0.73943,0.1473,0.12754,0.08913,0.73935,0.14716,0.12743,0.08513,0.96606,0.71907,2.55284,1.19064,0,8.86824e-05,8.86824e-05,8.86824e-05
3,1264.31,1.09745,0.96913,2.47512,1.28571,0,0.79258,0.15751,0.17655,0.12676,0.79233,0.15748,0.17654,0.12063,0.95332,0.68074,2.0253,1.22721,0,0.000131457,0.000131457,0.000131457
4,1642.31,1.07708,0.90636,1.99489,1.26886,0,0.84838,0.22791,0.25593,0.19057,0.84838,0.22791,0.25532,0.1852,0.93718,0.63825,1.76607,1.18163,0,0.000129988,0.000129988,0.000129988
5,2010.67,1.05923,0.91228,1.78421,1.23894,0,0.91918,0.25168,0.3019,0.21891,0.91918,0.25168,0.30119,0.21069,0.91939,0.61491,1.56786,1.15925,0,0.000128318,0.000128318,0.000128318
6,2359.35,1.03245,0.84805,1.58424,1.23174,0,0.92068,0.26375,0.31363,0.2308,0.91488,0.26301,0.3133,0.22364,0.90532,0.59562,1.43582,1.17499,0,0.000126647,0.000126647,0.000126647
7,2713.47,1.01456,0.86173,1.49949,1.22007,0,0.87437,0.31033,0.35901,0.2662,0.87242,0.30803,0.35805,0.25572,0.89754,0.57069,1.3418,1.14061,0,0.000124976,0.000124976,0.000124976
8,3060.23,1.00072,0.85001,1.35152,1.20635,0,0.79421,0.3701,0.40992,0.30786,0.79416,0.36988,0.40946,0.29324,0.88344,0.58416,1.2532,1.15415,0,0.000123306,0.000123306,0.000123306
9,3405.13,0.99176,0.81151,1.30962,1.19802,0,0.8266,0.37971,0.48974,0.37188,0.75039,0.41692,0.48817,0.36264,0.89373,0.58144,1.2178,1.1313,0,0.000121635,0.000121635,0.000121635
10,3745.92,0.98862,0.82417,1.25896,1.19962,0,0.79656,0.45451,0.55307,0.42107,0.79406,0.4511,0.54983,0.40923,0.88816,0.5513,1.17455,1.13991,0,0.000119964,0.000119964,0.000119964
11,4095.49,0.9767,0.79582,1.16604,1.18539,0,0.91512,0.42089,0.5853,0.44925,0.91325,0.41862,0.58275,0.43574,0.88897,0.55025,1.13914,1.13825,0,0.000118294,0.000118294,0.000118294
12,4438.32,0.97351,0.7952,1.16883,1.18193,0,0.74907,0.56593,0.63766,0.48862,0.74818,0.5648,0.63697,0.47584,0.87927,0.52464,1.08406,1.1247,0,0.000116623,0.000116623,0.000116623
13,4913.37,0.95685,0.80441,1.12337,1.16452,0,0.79861,0.58092,0.65715,0.50777,0.79861,0.58092,0.65699,0.49484,0.87402,0.52793,1.09425,1.1109,0,0.000114953,0.000114953,0.000114953
14,5273.26,0.94593,0.75425,1.10436,1.16643,0,0.80256,0.59772,0.68188,0.53037,0.80163,0.59659,0.68139,0.51127,0.86657,0.51461,1.02806,1.11724,0,0.000113282,0.000113282,0.000113282
15,5617.81,0.94647,0.77521,1.06688,1.15289,0,0.89333,0.56205,0.68972,0.52834,0.89456,0.56095,0.68878,0.51216,0.88952,0.52686,1.01381,1.14337,0,0.000111611,0.000111611,0.000111611
16,5988.62,0.95288,0.77997,1.04751,1.1645,0,0.81523,0.62635,0.72475,0.55337,0.81523,0.62635,0.7247,0.54314,0.87517,0.51142,0.99612,1.11232,0,0.000109941,0.000109941,0.000109941
17,6342.53,0.94106,0.7592,1.07727,1.16173,0,0.81399,0.6294,0.71718,0.55943,0.81399,0.6294,0.71697,0.53765,0.8816,0.5304,0.98536,1.11789,0,0.00010827,0.00010827,0.00010827
18,6688.26,0.91668,0.71861,1.02221,1.14369,0,0.81733,0.65111,0.74638,0.58435,0.81733,0.65111,0.74642,0.56512,0.86297,0.50742,0.95628,1.10186,0,0.000106599,0.000106599,0.000106599
19,7028.1,0.93652,0.75831,1.0117,1.15446,0,0.85717,0.62572,0.75105,0.58255,0.85717,0.62572,0.75063,0.57477,0.85851,0.51908,0.9204,1.09744,0,0.000104929,0.000104929,0.000104929
20,7369.28,0.93199,0.7653,1.00011,1.15312,0,0.87482,0.62872,0.75439,0.59162,0.87462,0.62691,0.75101,0.57797,0.8487,0.52236,0.9327,1.0936,0,0.000103258,0.000103258,0.000103258
21,7708.84,0.90492,0.73289,0.93663,1.13542,0,0.88715,0.64734,0.75268,0.59619,0.88812,0.64521,0.75207,0.57898,0.8531,0.5096,0.91241,1.09265,0,0.000101587,0.000101587,0.000101587
22,8047.36,0.91534,0.72736,0.97042,1.13637,0,0.8859,0.64174,0.77444,0.60841,0.88273,0.63947,0.77145,0.59306,0.85074,0.50194,0.9003,1.09171,0,9.99169e-05,9.99169e-05,9.99169e-05
