epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9959,1.47692,3.88968,5.44383,1.63652,0,0,0,0,0,0,0,0,0,1.10508,2.97829,5.14005,1.49281,0,8.1e-05,8.1e-05,8.1e-05
2,242.073,1.23321,2.93553,5.0172,1.43055,0,0,0,0,0,0,0,0,0,1.17532,3.05884,5.05017,1.36871,0,0.000161439,0.000161439,0.000161439
3,331.44,1.09158,2.4481,5.03724,1.33453,0,0.01081,0.03636,0.00805,0.00438,0.00811,0.02727,0.00645,0.00365,1.1902,3.1379,4.94143,1.32519,0,0.000238563,0.000238563,0.000238563
4,424.656,1.05133,2.23251,4.53499,1.27178,0,0.02627,0.37121,0.03829,0.01783,0.022,0.32879,0.03015,0.01634,1.34683,3.53672,4.91772,1.43529,0,0.000253962,0.000253962,0.000253962
5,522.425,1.02318,2.28875,4.91443,1.25881,0,0.41737,0.13636,0.07115,0.03306,0.41166,0.11818,0.05256,0.02618,1.35224,3.48961,4.76953,1.45695,0,0.000248616,0.000248616,0.000248616
6,609.174,1.05807,2.17111,4.43178,1.31138,0,0.52342,0.12727,0.0883,0.04341,0.51787,0.11818,0.07981,0.03542,1.35932,3.55804,4.73178,1.46793,0,0.00024327,0.00024327,0.00024327
7,715.215,0.99607,1.97205,4.12361,1.25693,0,0.36209,0.1947,0.10423,0.05226,0.35327,0.18561,0.09226,0.04315,1.35707,3.55979,4.65648,1.48007,0,0.000237924,0.000237924,0.000237924
8,831.951,0.96069,1.86792,4.3141,1.22693,0,0.24894,0.23712,0.10014,0.05702,0.24784,0.22803,0.09789,0.05066,1.36503,3.55449,4.6124,1.48033,0,0.000232578,0.000232578,0.000232578
9,945.466,1.01582,1.73118,3.66539,1.28653,0,0.5651,0.18485,0.11946,0.06646,0.5651,0.18485,0.1171,0.05928,1.40582,3.53355,4.54063,1.50459,0,0.000227232,0.000227232,0.000227232
10,1052.53,0.91032,1.70192,4.91384,1.16843,0,0.35116,0.19242,0.1209,0.07195,0.35116,0.19242,0.11903,0.06518,1.33846,3.44633,4.54258,1.48391,0,0.000221886,0.000221886,0.000221886
11,1165.48,1.01278,1.89882,3.88409,1.22533,0,0.34557,0.13671,0.13093,0.0765,0.46331,0.07576,0.12938,0.06936,1.33222,3.50306,4.56167,1.48308,0,0.00021654,0.00021654,0.00021654
12,1260.05,0.97294,1.68655,3.73055,1.20446,0,0.36186,0.15076,0.15604,0.0923,0.36186,0.15076,0.15428,0.08693,1.31399,3.44576,4.56372,1.49293,0,0.000211194,0.000211194,0.000211194
13,1346.77,0.92643,1.60479,3.48293,1.2038,0,0.28797,0.19318,0.18463,0.11848,0.28797,0.19318,0.18265,0.10845,1.27157,3.40398,4.55269,1.47314,0,0.000205848,0.000205848,0.000205848
14,1431.66,0.96755,1.60346,3.96893,1.17899,0,0.28973,0.18741,0.16291,0.10585,0.28973,0.18741,0.16136,0.09625,1.36811,3.4234,4.60922,1.5227,0,0.000200502,0.000200502,0.000200502
15,1519.46,0.94372,1.57661,3.27232,1.19657,0,0.40684,0.18409,0.19556,0.13187,0.40684,0.18409,0.19364,0.12267,1.41661,3.44271,4.47132,1.54934,0,0.000195156,0.000195156,0.000195156
16,1602.5,1.02289,1.67005,3.39213,1.23508,0,0.4112,0.15583,0.19116,0.11888,0.41131,0.15322,0.18891,0.11335,1.45368,3.41298,4.46988,1.57647,0,0.00018981,0.00018981,0.00018981
17,1686.51,0.90414,1.54271,3.15237,1.17761,0,0.05246,0.43267,0.15861,0.10066,0.0583,0.41818,0.15739,0.09124,1.42394,3.44228,4.46098,1.55093,0,0.000184464,0.000184464,0.000184464
18,1769.69,0.90132,1.44681,3.18934,1.11191,0,0.11074,0.15376,0.15002,0.10175,0.1103,0.15037,0.14864,0.09456,1.43264,3.48421,4.47962,1.55129,0,0.000179118,0.000179118,0.000179118
19,1851.45,0.88537,1.52328,3.05059,1.12255,0,0.22377,0.14137,0.15074,0.09863,0.22117,0.13972,0.14703,0.09328,1.43361,3.50619,4.50012,1.54422,0,0.000173772,0.000173772,0.000173772
20,1933.72,0.87939,1.35535,3.08458,1.17461,0,0.13557,0.15076,0.14701,0.0987,0.13654,0.15076,0.1434,0.09114,1.39316,3.47316,4.48759,1.51177,0,0.000168426,0.000168426,0.000168426
21,2016.47,0.82691,1.30675,3.70059,1.07551,0,0.19216,0.15965,0.15315,0.10236,0.19384,0.15851,0.15164,0.09206,1.3221,3.41526,4.53395,1.45715,0,0.00016308,0.00016308,0.00016308
22,2099.15,0.78746,1.19428,3.94743,1.045,0,0.28947,0.12168,0.15254,0.09797,0.28947,0.12168,0.15132,0.08903,1.34889,3.37461,4.47722,1.46546,0,0.000157734,0.000157734,0.000157734
23,2184.64,0.81771,1.46211,2.77679,1.11073,0,0.26281,0.13397,0.17206,0.09677,0.26281,0.13397,0.17079,0.09027,1.35362,3.4038,4.49464,1.48211,0,0.000152388,0.000152388,0.000152388
24,2268.32,0.80616,1.35269,2.9368,1.10969,0,0.24149,0.15438,0.17852,0.09647,0.24149,0.15438,0.17622,0.09088,1.35256,3.38645,4.65365,1.49794,0,0.000147042,0.000147042,0.000147042
25,2352,0.82561,1.41597,2.82788,1.09479,0,0.20255,0.13747,0.16725,0.09688,0.20255,0.13747,0.16387,0.0933,1.3755,3.38168,4.68343,1.53844,0,0.000141696,0.000141696,0.000141696
26,2435.26,0.7565,1.25318,2.56173,1.05905,0,0.2048,0.15442,0.16019,0.09374,0.20476,0.15404,0.15644,0.09036,1.36898,3.39358,4.76513,1.53229,0,0.00013635,0.00013635,0.00013635
27,2519.3,0.80545,1.22539,2.55419,1.06729,0,0.21143,0.15747,0.17458,0.09554,0.21143,0.15747,0.16927,0.09375,1.37445,3.43276,4.74673,1.52865,0,0.000131004,0.000131004,0.000131004
28,2603.08,0.69081,1.16972,2.66103,1.03649,0,0.23213,0.18991,0.18443,0.09657,0.23213,0.18991,0.17818,0.09862,1.35894,3.42993,4.71875,1.51185,0,0.000125658,0.000125658,0.000125658
29,2686.78,0.79478,1.22769,2.59929,1.11806,0,0.27858,0.23409,0.20935,0.11072,0.28032,0.23409,0.20281,0.11086,1.40939,3.43647,4.73376,1.55086,0,0.000120312,0.000120312,0.000120312
30,2772.76,0.81531,1.39767,2.4447,1.12379,0,0.2934,0.32175,0.23295,0.12518,0.2941,0.3206,0.22846,0.12865,1.43003,3.45371,4.69125,1.56278,0,0.000114966,0.000114966,0.000114966
